Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"Chazen v. Marske, 938 F.3d 851.txt",1,1902,22.13,1.37,2.68,2.16,1.89,2.26,2.16,1.37,2.89,2.16
"Schmidt v. Foster, 891 F.3d 302.txt",1,4426,28.51,1.38,2.03,1.76,1.40,1.67,1.63,1.56,2.21,2.15
"Kanter v. Barr, 919 F.3d 437.txt",1,9350,25.67,1.51,1.96,1.49,0.99,2.19,1.78,1.84,2.92,3.04
"Sims v. Hyatte, 914 F.3d 1078.txt",1,3808,28.76,1.60,4.96,2.15,1.50,2.05,2.73,1.05,2.52,2.63
"United States v. Wilson, 963 F.3d 701.txt",1,299,20.74,2.34,2.01,2.01,1.67,1.34,2.01,2.68,1.34,3.68
"Cook Cty. v. Wolf, 962 F.3d 208.txt",1,10642,28.38,1.38,3.13,2.23,1.23,2.53,1.09,0.78,2.73,2.67
"Williams v. Wexford Health Sources, Inc., 957 F.3d 828.txt",1,844,28.32,2.25,2.84,2.01,1.90,1.66,1.42,1.90,1.66,2.37
"United States v. Rutherford, 810 Fed. Appx. 464.txt",1,666,26.88,1.35,6.01,2.55,1.05,1.20,1.35,1.50,2.40,2.10
"McCottrell v. White, 933 F.3d 651.txt",1,1904,26.73,1.63,1.63,3.47,1.42,2.42,1.47,2.10,3.41,2.78
