Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"Austin v. Saul, 2020 U.S. App. LEXIS 22882.txt",1,791,35.27,1.01,2.78,2.28,1.39,2.65,1.77,1.52,3.16,2.15
"Herrman v. Lifemap Assur. Co., 810 Fed. Appx. 574.txt",1,560,24.64,1.25,2.50,2.14,1.96,0.71,1.61,1.96,2.14,2.32
"Bautista v. Barr, 2020 U.S. App. LEXIS 23553.txt",1,1399,30.81,1.57,2.86,2.93,0.29,1.50,1.22,0.71,3.00,2.36
