Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"Williams v. Taylor Seidenbach, Inc., 958 F.3d 341.txt",1,7321,22.25,2.02,2.10,1.87,1.24,2.01,1.63,0.66,2.55,2.28
"United States v. Sarli, 913 F.3d 491.txt",1,1959,31.14,1.43,4.34,2.65,1.17,1.63,1.12,0.41,2.14,1.84
"Gilkers v. Vannoy, 904 F.3d 336.txt",1,1158,26.68,1.30,3.63,2.07,0.95,1.81,0.69,1.04,1.21,1.90
"Valentine v. Collier, 960 F.3d 707.txt",1,180,31.11,0.56,0.56,2.22,1.11,0.56,1.67,0.56,2.78,0.56
"Fusilier v. Landry, 963 F.3d 447.txt",1,1354,25.55,1.70,2.07,1.99,1.77,2.14,1.33,0.44,2.66,2.44
"Collins v. Mnuchin, 938 F.3d 553.txt",1,1995,27.37,1.55,2.11,2.21,2.46,2.46,1.15,1.10,2.56,2.51
"United States v. McGinnis, 956 F.3d 747.txt",1,5864,29.35,1.11,2.35,2.06,0.99,2.20,1.19,3.07,3.10,2.44
"United States v. Ramos, 801 Fed. Appx. 216.txt",1,3054,24.66,1.44,3.18,1.47,0.85,1.51,1.74,1.41,3.27,2.03
"JCB, Inc. v. Horsburgh & Scott Co., 912 F.3d 238.txt",1,1532,25.65,1.11,3.13,2.28,2.02,2.42,1.24,0.85,2.28,2.42
