Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"Bullock v. Carney, 806 Fed. Appx. 157.txt",1,1806,31.51,1.94,1.38,2.55,1.00,2.77,1.16,2.82,2.82,3.88
"El v. City of Pittsburgh, 2020 U.S. App. LEXIS 29449.txt",1,2717,27.16,1.69,1.62,2.87,0.77,1.40,1.95,1.32,3.61,3.02
"Defense Distributed v. AG N.J., 2020 U.S. App. LEXIS 26964.txt",1,2231,26.40,1.75,2.78,2.42,0.85,2.02,0.72,2.20,1.84,2.60
"Diamond v. Pa. State Educ. Ass'n, 2020 U.S. App. LEXIS 27475.txt",1,2639,25.20,2.12,2.39,2.99,1.36,2.05,2.24,2.96,2.27,2.92
"Yucis v. Sears Outlet Stores, LLC, 813 Fed. Appx. 780.txt",1,613,23.65,1.63,1.96,2.94,1.14,1.79,1.79,1.31,0.82,3.59
"Mid-American Salt, LLC v. Morris Cty. Coop. Pricing Council, 964 F.3d 218.txt",1,3640,33.52,1.98,1.65,1.24,1.18,2.75,1.24,3.16,1.95,2.72
