Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"State v. One (1) 2004 Lincoln Navigator, 494 S.W.3d 690.txt",1,2925,29.71,1.23,3.59,2.50,1.44,2.36,1.44,1.06,3.35,2.60
"In re Nestle USA, Inc., 387 S.W.3d 610.txt",1,160,40.00,3.12,3.12,2.50,1.25,1.25,1.25,1.88,2.50,4.38
"State v. Naylor, 466 S.W.3d 783.txt",1,1323,22.90,2.57,1.44,1.97,1.06,3.85,1.21,2.12,3.48,4.08
"Lubbock County Water Control v. Church & Akin, L.L.C., 442 S.W.3d 297.txt",1,2197,29.45,1.68,1.96,4.05,1.82,1.82,1.73,2.23,3.23,2.78
"Severance v. Patterson, 370 S.W.3d 705.txt",1,193,32.12,2.59,3.63,1.04,1.04,3.63,4.15,1.04,2.07,3.11
"Loaisiga v. Cerda, 379 S.W.3d 248.txt",1,1019,26.59,2.26,3.04,1.96,2.55,1.96,1.47,1.77,2.16,3.43
"In re Bazan, 251 S.W.3d 39.txt",1,2443,29.19,1.88,3.03,1.68,0.94,2.05,2.58,1.68,3.19,3.44
"Nueces County v. Ballesteros, 347 S.W.3d 231.txt",1,170,32.94,0.00,3.53,2.35,0.59,1.18,0.59,2.94,3.53,0.59
"Ogletree v. Matthews, 262 S.W.3d 316.txt",1,862,28.89,2.20,1.62,2.32,1.28,3.60,3.25,1.62,2.90,3.02
"Jaster v. Comet II Constr., Inc., 438 S.W.3d 556.txt",1,1730,33.24,1.91,3.29,3.47,1.62,3.53,1.79,1.97,4.05,3.76
"Collins v. Mnuchin, 896 F.3d 640.txt",1,5847,30.55,1.28,1.66,1.32,1.11,2.43,1.93,4.21,4.72,2.36
"Roccaforte v. Jefferson County, 341 S.W.3d 919.txt",1,1284,27.49,1.64,4.44,3.35,2.49,2.57,2.10,2.41,2.65,4.21
"Univ. of Tex. at Arlington v. Williams, 459 S.W.3d 48.txt",1,3221,29.09,1.92,2.11,2.95,1.30,1.71,1.61,1.15,3.76,2.70
"City of Rockwall v. Hughes, 246 S.W.3d 621.txt",1,3018,31.94,1.79,2.88,2.72,2.05,2.65,1.99,1.69,2.88,3.21
"City of Galveston v. State, 217 S.W.3d 466.txt",1,2572,29.94,1.94,1.59,1.67,0.93,1.71,2.06,1.71,3.54,3.07
"AIC Mgmt. v. Crews, 246 S.W.3d 640.txt",1,401,34.41,1.25,3.74,1.75,2.00,3.24,3.49,1.25,4.49,4.24
"In re XL Specialty Ins. Co., 373 S.W.3d 46.txt",1,233,30.47,1.29,3.86,1.29,2.15,6.01,3.00,0.86,3.43,4.29
"Episcopal Diocese of Fort Worth v. Episcopal Church, 422 S.W.3d 646.txt",1,2929,27.89,1.91,2.42,2.90,1.57,3.11,1.81,1.74,2.97,3.55
"In re Bexar County Crim. Dist. Attorney's Office, 224 S.W.3d 182.txt",1,493,35.70,1.01,2.23,3.04,2.64,2.43,2.84,1.22,5.68,1.62
"In re Morgan Stanley & Co., 293 S.W.3d 182.txt",1,243,32.92,2.06,3.29,3.29,1.65,2.06,1.65,1.23,2.88,2.88
"Edwards Aquifer Auth. v. Chem. Lime, Ltd., 291 S.W.3d 392.txt",1,1629,29.47,1.53,4.05,2.33,1.23,2.82,1.35,0.68,4.24,2.64
"AIG Aviation, Inc. v. Holt Helicopters, Inc., 248 S.W.3d 169.txt",1,383,37.34,1.83,2.61,2.09,3.13,2.09,0.78,2.61,5.74,3.13
