"nominee","consistency_score"
"Bade",5.551
"Pryor",4.344
"Katsas",4.218
"Duncan",4.148
"Tymkovich",4.136
"Gruender",4.083
"Mansfield",3.942
"Hardiman",3.919
"Thapar",3.86
"Canady",3.837
"Ho",3.795
"Larsen",3.736
"Stras",3.691
"Sykes",3.682
"Ryan",3.681
"Lee",3.662
"Phipps",3.633
"Willett",3.614
"Kethledge",3.609
"Barrett",3.509
"Young",3.48
"Newsom",3.414
"Colloton",3.33
"Eid",3.239
"Rushing",3.206
"Blackwell",2.844
"Grant",2.596
"Lagoa",1.704
"Muniz",1.445
"Vandyke",0.593
